ID_ISSUE;ID_USUARIO_COMENTARIO;DATA_REGISTRO
400729028;217034;24/01/2019
400729028;15655;24/01/2019
399960361;5384588;16/01/2019
399960361;5384588;16/01/2019
398957015;89246;14/01/2019
398957015;1153097;15/01/2019
398957015;89246;15/01/2019
398957015;1153097;15/01/2019
397722495;8604205;10/01/2019
397476374;5384588;09/01/2019
397476374;5384588;09/01/2019
397476374;1153097;14/01/2019
397476374;6431282;14/01/2019
397476374;1153097;16/01/2019
397299224;15655;09/01/2019
395927626;5384588;04/01/2019
395927626;5384588;04/01/2019
395927626;3135907;04/01/2019
395927626;5384588;04/01/2019
395927626;5384588;04/01/2019
395864464;380968;07/01/2019
395613842;8604205;09/01/2019
395274149;15655;02/01/2019
395222697;8604205;03/01/2019
393868598;2146903;26/12/2018
393868598;1364221;26/12/2018
393868598;8604205;27/12/2018
393868598;2146903;27/12/2018
393641676;89246;30/12/2018
393501361;89246;22/12/2018
392939180;15655;20/12/2018
392232190;15655;18/12/2018
392232190;15655;18/12/2018
392232190;1273018;18/12/2018
392232190;15655;19/12/2018
392232190;1273018;19/12/2018
392232190;1153097;11/01/2019
392006562;36668789;18/12/2018
392006562;1153097;18/12/2018
391803996;1153097;04/01/2019
391104002;15655;14/12/2018
389399288;8604205;10/12/2018
389094918;5384588;10/12/2018
389094918;5384588;10/12/2018
389094918;8604205;10/12/2018
388239344;1758366;06/12/2018
388189526;2146903;26/12/2018
388189526;15655;31/12/2018
387720259;1153097;05/12/2018
387703649;1153097;05/12/2018
387703649;40318508;05/12/2018
387591719;1153097;05/12/2018
387053908;5384588;03/12/2018
387053908;5384588;03/12/2018
387053908;21224637;03/12/2018
387053908;5384588;03/12/2018
387053908;5384588;03/12/2018
386481955;5384588;01/12/2018
386481955;5384588;01/12/2018
386474536;1758366;01/12/2018
386474536;1758366;03/12/2018
386474536;8604205;03/12/2018
386131827;8604205;30/11/2018
386131827;10137;30/11/2018
386131827;10137;30/11/2018
386131827;10137;30/11/2018
386131827;8604205;30/11/2018
386131827;89246;30/11/2018
386131827;1758366;01/12/2018
386131827;1758366;01/12/2018
386131827;1758366;01/12/2018
385637122;8604205;29/11/2018
385637122;89246;01/12/2018
385637122;89246;06/12/2018
385341621;8604205;28/11/2018
385341621;1916280;28/11/2018
385341621;1916280;28/11/2018
385341621;15655;28/11/2018
385341621;1916280;28/11/2018
385341621;89246;29/11/2018
385341621;89246;06/12/2018
385293791;5384588;28/11/2018
385293791;5384588;28/11/2018
385293791;6481850;28/11/2018
385293791;5384588;28/11/2018
385293791;5384588;28/11/2018
384963162;5384588;27/11/2018
384963162;5384588;27/11/2018
384963162;17892857;27/11/2018
384963162;5384588;27/11/2018
384963162;5384588;27/11/2018
384963162;8604205;29/11/2018
383909153;8604205;05/12/2018
383899048;5384588;23/11/2018
383899048;5384588;23/11/2018
383899048;25126828;23/11/2018
382392084;8604205;20/11/2018
382392084;15655;20/11/2018
382392084;15655;20/11/2018
382392084;8604205;20/11/2018
381956983;15655;20/11/2018
