;USUARIO;COMENTARIOS;ISSUES;COMMITS;DESEMPENHO;QUARTIL COMENTARIO;QUARTIL ISSUE;QUARTIL COMMITS
8576;4390806;0.002688172043010753;0.015151515151515152;0.0;0.015388134400225968;4;4;1
7664;3112833;0.002530044275774826;0.015151515151515152;0.0006954102920723226;0.015377032577786076;4;4;4
6402;1870060;0.002530044275774826;0.015151515151515152;0.0006954102920723226;0.015377032577786076;4;4;4
1740;275268;0.0015812776723592662;0.015151515151515152;0.002086230876216968;0.015375994593280014;4;4;4
81;5284;0.0015812776723592662;0.015151515151515152;0.002086230876216968;0.015375994593280014;4;4;4
8029;3543513;0.002213788741302973;0.015151515151515152;0.0013908205841446453;0.015375423697413787;4;4;4
4760;1152805;0.002530044275774826;0.015151515151515152;0.0;0.015361299926242382;4;4;1
5625;1506905;0.002530044275774826;0.015151515151515152;0.0;0.015361299926242382;4;4;1
4747;1147078;0.0014231499051233396;0.015151515151515152;0.002086230876216968;0.01536053795633235;4;4;4
5428;1428163;0.002055660974067046;0.015151515151515152;0.0013908205841446453;0.015353453530856697;4;4;4
7501;2923269;0.0023719165085388993;0.015151515151515152;0.0006954102920723226;0.015351807541276458;4;4;4
4390;1024005;0.0023719165085388993;0.015151515151515152;0.0;0.015336049012378403;4;4;1
2254;394435;0.0009487666034155598;0.015151515151515152;0.002086230876216968;0.015323867942632205;4;4;4
7118;2478262;0.002213788741302973;0.015151515151515152;0.0;0.01531238949275106;4;4;1
2546;465641;0.002213788741302973;0.015151515151515152;0.0;0.01531238949275106;4;4;1
1037;136476;0.002213788741302973;0.015151515151515152;0.0;0.01531238949275106;4;4;1
3023;596443;0.0006325110689437065;0.015151515151515152;0.002086230876216968;0.015307541961654412;4;4;4
3706;803755;0.002055660974067046;0.015151515151515152;0.0;0.015290328754702938;4;4;1
3749;814134;0.0018975332068311196;0.015151515151515152;0.0;0.015269873727625257;4;4;1
4770;1156716;0.0015812776723592662;0.015151515151515152;0.0006954102920723226;0.015249670355060639;4;4;4
9776;6392013;0.0015812776723592662;0.015151515151515152;0.0006954102920723226;0.015249670355060639;4;4;4
